a1,a2,b1,b2,b3,b4
-0.3188535,-0.15401456,-0.03217468,-0.21103609,0.4923492,0.9596594
0.28795433,0.1209503,-0.18410054,0.005522074,0.31525853,0.45063937
-0.6121998,-0.37555027,-0.9689087,-0.56682205,-0.17480478,0.41329008
0.46794412,0.3044137,-0.88089406,-0.38062406,0.18214527,0.58612967
-0.42930734,-0.19544122,-0.70501983,-0.3556856,-0.29979858,0.22622402
0.38325253,0.18322933,-0.29490584,0.5611199,0.3602714,0.73463124
-0.3852197,-0.19904946,-0.029257938,0.12713036,0.026560484,0.16807479
0.23041765,0.13353854,-0.8127237,-0.2503624,-0.11262799,0.124392636
-0.2549831,-0.12422774,-0.19774128,0.015325795,-0.1528894,0.14129002
0.4605323,0.31525043,-0.85647535,-0.3141545,-0.31038064,-0.15415077
0.88648623,0.9524222,-1.1967613,-0.43709028,-0.03392012,0.6630813
-0.50877506,-0.53154975,-1.1522768,-0.48925042,0.028721437,0.8049331
0.7366819,0.8720407,-1.4386604,-0.93330985,-0.9392326,0.2641325
-0.3452144,-0.34302005,-0.566852,-0.033954117,0.50961,0.7084313
0.6895408,0.6786634,-0.9133483,-0.02267816,0.1263777,1.0077506
1.0641217,1.105338,-1.1136531,-0.16180351,0.28636235,1.078491
1.0228612,1.0465951,-1.3174948,-0.31303528,0.055030406,0.9455279
1.105926,1.0962158,-0.7587405,0.025484914,0.4161552,1.1874412
1.0119977,0.98846686,-1.205821,-0.2838669,-0.042598017,1.0577232
0.97605926,0.9257401,-0.79855025,-0.050299373,0.4255405,1.1058306
0.14236301,0.040319502,0.4410334,0.6832688,-0.05845589,0.31592563
-0.287763,-0.07002442,-0.94093776,-0.8109337,-0.71662295,-0.03239003
0.2892776,0.20601392,0.4090231,0.44044244,0.4018206,1.0208529
-0.108681485,0.12196091,-0.83220845,-0.79068923,-0.9255147,-0.10627215
0.19971812,9.2704395e-05,-0.0731878,0.79524285,0.5780823,0.68353724
0.028003516,0.19028276,-0.7563969,-0.7710274,-0.56624085,-0.16371103
0.3420059,0.11296477,-0.082661554,0.778397,0.638738,0.83679014
-0.20374858,0.016731758,-1.0186087,-0.95569384,-0.59579027,0.4395058
-0.09622296,0.1467217,-0.76178485,-0.6346215,-0.97409445,0.043311562
-0.37249547,-0.15856835,-1.0282226,-1.2257607,-0.20779629,0.36889502
-0.30411786,-0.17154898,-1.0150232,-0.6257098,-0.13470717,0.9637464
0.1840776,0.15807338,-0.12802008,0.057131454,-0.20279701,0.43658644
-0.13524719,0.0031492792,-1.096072,-0.95240486,-0.7676559,0.03677841
0.60591906,0.5033839,-0.55809546,0.15924488,0.5090075,0.99809206
-0.27437583,-0.1655875,-0.28757843,-0.023093404,0.4442055,0.65505266
0.28365523,0.23418882,-0.18432474,0.275932,-0.23877178,0.36446342
-0.08783777,0.014397096,-0.62920445,-0.79366213,-0.34776232,0.21804263
0.44068417,0.3077836,-0.20744643,-0.18406811,1.0595698,1.1094784
-0.18858589,-0.053198043,-0.5986122,-0.29133794,-0.10824903,0.4933067
-0.1941666,-0.05039861,-1.120777,-1.2432137,-0.14037728,0.5048158
-0.10481013,-0.01146751,-0.82894766,-0.8661878,-0.31434965,0.18599433
0.2457074,0.1867617,0.12598053,0.4836456,0.78748083,0.8703986
0.06028538,0.16134562,-0.9573141,-1.0424846,-0.7231289,-0.37175497
0.14669116,0.086286716,0.2783815,0.35858417,1.0436902,0.6888892
-0.24069893,-0.05995825,-1.1434703,-1.5027878,-0.49643892,0.36616507
0.13828963,0.042335313,0.6794813,0.9204815,0.6694296,0.500369
-0.25678134,-0.11630976,-1.0665727,-1.2775382,-0.9205133,0.06881266
0.047352284,0.101258054,-0.46863884,-0.30763125,-0.09136726,0.45713174
0.15906754,0.2751412,-0.9982875,-1.0558105,-0.9401125,-0.22914295
-0.1686545,-0.00010447827,-1.1697309,-1.2394749,-0.5418882,-0.089719154
