theta1,theta2
-0.66812176,0.87854433
0.56888455,-1.1682557
0.79074407,-1.5182151
0.14645998,-0.11929341
0.56152296,0.16472368
0.4187657,0.20207489
-0.15575291,-0.05835073
-1.1018181,1.5927202
-1.0096717,-1.0209825
1.8694981,-1.2793956
0.5107111,-0.5713695
0.04826439,0.5698658
0.9268527,1.360503
0.9352912,-0.114669144
1.0968714,0.22262049
-0.30487233,1.8501983
0.9484117,-0.6842159
0.56180745,0.11134618
2.2858129,0.047543053
0.17964242,1.1106783
0.3275956,1.6977881
-0.33597618,0.8360014
-1.7413278,-0.28459096
0.17960459,-1.5226632
0.10953303,0.33029196
-1.1861604,0.21701698
0.3347995,0.1452781
1.2880927,-0.37246308
0.2901566,-0.06002677
0.054109283,0.25895014
0.19849856,-0.35995674
0.15320903,-0.74761224
-0.51825124,1.8168057
-0.9189832,0.15667593
-1.7925203,1.9104823
0.4556194,-0.51503503
0.9881016,0.21778621
-0.4932673,0.06716829
0.24403428,0.8762357
-0.3763814,-0.34938395
-0.99238986,1.1911554
-1.4600843,1.8274188
0.43426114,2.2614815
0.006666705,1.1635265
0.8786932,0.018344846
-1.0612099,0.22426678
1.2939292,-1.0128932
0.7368718,-1.1515273
0.28597182,-1.1545762
0.089685,0.5526699
-0.316994,-0.28741816
1.2039737,-2.2108014
-0.17839707,0.29263386
0.6366878,-0.3080142
-1.4937797,-0.53072095
0.3035801,-0.17292634
0.9311754,-0.08206129
0.14222427,0.8062985
0.088766016,-0.32866693
-0.3385909,0.016384378
0.6374937,0.21269587
0.41563654,0.0702476
0.42634004,0.084489904
-1.5359281,0.8334457
-0.381352,-0.27939528
-0.58642393,0.56860316
0.11529563,1.0237542
0.7100262,-0.9152118
1.0809041,-1.2776712
0.884382,-0.1684871
0.5222813,0.38509628
-2.1230638,2.033076
-0.015418459,0.070981055
-0.85690314,0.8669155
-0.8248017,0.09324258
0.72826344,-0.0042865532
0.40373713,-0.33708495
1.4614375,0.28100786
0.3598101,0.620525
0.3476012,-0.20644014
0.081606746,0.9410898
1.1301227,-0.8375907
-0.2063449,0.8363409
-0.2873568,-0.21021865
1.4860022,-2.1787093
-0.8818258,0.4541931
-0.97466743,0.01957198
0.10799278,-0.3980322
0.071605794,-0.4668102
1.4119595,1.2736022
1.0273875,-0.056222513
-0.044617217,0.13118504
1.1017846,0.08047504
0.049422704,0.72874755
0.18585475,-0.23362306
-0.06625581,-0.30086815
0.12863074,0.08829213
-0.8281494,-0.5368049
-0.43459737,1.028991
0.13861144,0.018104564
2.5598226,-1.7701635
0.10397148,-0.07457888
-0.2348585,0.7344031
-0.20686723,-0.5148441
1.2649032,-1.1080778
-0.2689457,0.17880188
-0.750411,0.66197246
0.22892748,0.06593351
0.05477196,0.6151624
0.72008646,-0.46489704
0.7003836,-0.33615452
0.1559043,-0.74661016
0.41585043,-1.7346636
-1.2789291,1.6380886
-0.92233723,0.6221129
-1.4104174,0.612657
-0.16666679,-0.22062077
-0.5858989,0.257532
-0.3519533,0.22948179
-0.07157247,-1.0373241
-1.3924586,0.6715567
-0.4345128,-0.10782727
-1.1136087,-0.97897094
-0.9315347,1.3700997
0.010731012,0.2218959
0.52279425,-0.94402015
-1.8688749,1.0291054
-0.8162927,0.55815053
0.16982818,0.10385884
1.0624765,-0.32889196
-0.5368223,-0.99548733
0.5367258,-2.6441088
1.1508614,-1.0422518
1.3173224,0.15875976
0.7620369,-1.3239027
0.8152913,-0.44116044
-0.16776106,-0.5608554
0.59089434,-0.40486354
-0.42568734,-0.8069405
0.70027536,0.66263855
0.5409289,-0.102650136
-0.6395512,0.71583354
-0.73437333,0.13196108
-1.4039637,0.5799184
-0.39325824,-0.1227174
0.7092646,-0.20285842
0.7948323,-0.023290968
0.2663588,-0.23415338
-0.47703642,0.03877438
1.0145652,-1.0416359
-0.069084026,0.35775656
-1.3074377,-0.18425636
0.67101574,0.19732004
1.5231863,-1.0865865
-0.9539468,0.99166226
-1.6041521,-0.36403957
-1.020724,0.5526195
0.2753642,-0.77811897
-1.4208982,0.99189144
0.6261217,-0.65836036
1.018412,-0.68529564
-1.0985303,1.1637149
1.3227435,-0.24240409
-0.41630796,-0.3737812
-0.0066440348,-0.28660494
-1.4567437,-0.58707774
-0.21417677,-0.37740555
1.4504715,-1.2613599
0.56115746,-0.2983452
1.556566,-1.262077
-0.60600483,-0.5046612
1.356789,-0.21468785
0.9125531,-1.3162367
-0.47846332,-0.58592653
-0.2695916,1.1168784
-0.49277815,0.11833275
0.6551327,0.05368107
-0.17194195,-0.562063
-1.0259286,-0.21300378
-0.22386128,0.37668076
-1.160416,0.20940588
2.3101814,-2.52997
-0.49303538,0.88950986
0.15754306,0.25238416
0.8471059,0.19581233
-0.14185768,0.6972041
0.6825411,-0.8124019
0.31723553,0.72836447
-0.11206465,0.93801564
0.5527542,0.28540072
0.008220411,0.063379966
-0.8263162,0.85306346
0.6949096,0.079258114
0.98661214,-1.1894649
-0.8261463,0.9620549
1.2325071,-0.4267535
0.59489816,-0.056045104
0.48025265,-0.89974415
0.40068713,-0.61398906
0.33542386,0.66923136
-0.20216782,0.8560159
-0.3565458,0.8233885
1.3973742,-1.7165302
-1.6125139,0.19604722
-1.2619787,-0.53969646
-0.9320112,0.27203837
0.56280756,-1.413911
1.1003062,-0.6756495
0.16179669,0.4031158
0.10168887,-0.4680163
0.48194313,-0.8335992
-0.2747526,0.86929935
0.9916327,0.38892165
-1.5976899,-1.149464
-0.092130385,-0.824434
0.44536963,0.28843737
-0.47164083,1.3083919
0.3226113,-0.36829782
1.7910866,-1.0582451
0.42512676,0.14166915
3.1445668,-2.3231637
-0.08025405,-0.13844663
-0.20012242,0.39631447
0.10914629,0.68339556
0.65282214,-0.462311
-0.2972666,0.6205323
0.29090312,0.4655877
-0.00025887898,0.09130187
0.020090973,-0.6058882
0.26456878,0.33027756
2.9561884,-3.6789722
0.45857385,-1.2050653
-0.49208993,0.9116724
-0.40690094,0.7236222
0.8684539,-0.7312687
-0.95802563,0.49429742
-0.15645298,0.62487245
0.74481887,-0.8102119
0.8899553,-0.30152258
-0.862562,0.8236746
-0.32948577,-0.4222566
0.15230393,-0.07645575
0.6074257,-0.70545983
-0.98529315,0.5814923
1.0982087,-0.74085134
0.71783626,-0.14126463
-0.17910334,-1.1563556
0.7418396,-0.293399
-0.0131127285,-0.5999284
-0.017913513,0.18582341
0.33075014,-0.8590138
-0.01925734,0.4215949
-1.0717481,-1.3695979
0.15437184,-0.4979765
-1.526609,1.4926989
0.20476048,-0.5864318
0.45414993,1.0585427
0.06849247,-0.19610485
0.37182146,-0.16120172
-0.7606318,0.30467775
0.2562256,0.117773555
-0.31417447,-0.62241817
0.5550469,1.0989186
0.16941673,0.44636482
-0.14730458,0.16880663
0.6019041,0.36113885
-0.4024339,0.1477366
0.7057345,-0.82075274
-1.0402946,1.1406579
0.026376646,-1.0848869
0.049165778,0.2521306
-0.3812789,0.9824911
-0.31653193,-0.40495038
-0.0620868,-0.5200713
-0.43497846,0.3734899
-1.4549065,0.74329484
-2.575783,2.6321344
0.17730998,0.537028
-0.5556757,0.1409613
-0.32398224,1.0794185
-1.366802,0.7024085
-1.3972392,0.34557468
-0.40892276,1.7920076
-2.0763843,2.1610703
1.7010721,-2.0765748
-0.5740468,-0.48154888
-0.04115543,0.40414938
0.08561897,-0.15186644
-0.7698393,0.8781214
-0.6527123,0.9522269
0.14612536,1.9354228
0.57745624,0.97550184
0.30043042,-0.7414779
0.9040709,0.0195604
-0.89685124,-0.7308754
1.1884093,-0.73987144
0.29349726,-0.08570783
-0.37197033,-1.6991618
-1.0382544,1.4769958
0.053940702,0.60003436
1.4208273,-0.8453674
0.14991674,-0.32526135
0.5702701,0.018478937
-1.1863308,0.08211382
0.43352064,0.964185
-0.15526344,-1.4371512
0.49743778,-0.29609042
-0.7647218,0.26585257
0.16195868,0.08172717
0.9926148,0.08489302
0.3086682,-1.2019094
-1.180995,0.16661355
1.0676885,-0.41529977
-0.52183163,0.85959864
0.9580353,3.5735009
-0.22472474,-0.51000446
0.21874532,-0.12315604
-0.8220301,1.0088009
