theta1,theta2
-0.7394876,0.98397404
0.6466161,-1.2997591
0.8952165,-1.690229
0.17327636,-0.12937121
0.63836724,0.18752305
0.4784033,0.22919795
-0.16536249,-0.061373953
-1.2254577,1.7808212
-1.1222048,-1.1354378
2.1039937,-1.4237643
0.5814309,-0.63377863
0.06324518,0.6395636
1.0477304,1.521723
1.057186,-0.124211654
1.2382416,0.25212187
-0.33245543,2.0681045
1.071888,-0.7596879
0.638686,0.1279667
2.5704873,0.05677786
0.21045832,1.2429793
0.3762444,1.8980516
-0.36730823,0.93650645
-1.942048,-0.31380326
0.21041593,-1.6951921
0.13189857,0.37225714
-1.319966,0.24586971
0.3843166,0.1658265
1.4525111,-0.41184726
0.33429286,-0.06324401
0.06979456,0.29265696
0.2315872,-0.39789322
0.18083888,-0.8304228
-0.57155305,2.0308464
-1.0205855,0.17854372
-1.9994107,2.135367
0.519699,-0.570923
1.1163617,0.24672799
-0.54355776,0.078674875
0.28261137,0.9813982
-0.41258353,-0.38609654
-1.10284,1.3327723
-1.626906,2.0426881
0.49576643,2.526997
0.016633688,1.3019451
0.99376625,0.024199735
-1.179955,0.25395873
1.459051,-1.1264122
0.83485097,-1.2810943
0.32960367,-1.2844961
0.10965824,0.62037706
-0.34603813,-0.3169577
1.358253,-2.4629874
-0.19073598,0.33023983
0.72259176,-0.33993793
-1.6646627,-0.5884247
0.3493343,-0.18921258
1.0525742,-0.08782919
0.16853012,0.9033652
0.1086285,-0.36298135
-0.3702381,0.022012329
0.7234948,0.2410484
0.47489697,0.08211064
0.48689058,0.09800161
-1.7118914,0.9336549
-0.41815326,-0.30800614
-0.64794266,0.63815475
0.13835575,1.1459931
0.8047697,-1.0174234
1.2203498,-1.4218403
1.0001407,-0.18425947
0.5943957,0.43340552
-2.369795,2.272152
-0.008113419,0.082929
-0.9510229,0.9709991
-0.9150523,0.10776747
0.825205,-0.0010514247
0.46156332,-0.37237385
1.6467491,0.31726804
0.41234174,0.69608694
0.3986613,-0.22660586
0.10060631,1.0537597
1.2755007,-0.930817
-0.22205238,0.93688524
-0.31282872,-0.23082177
1.6742747,-2.4271805
-0.97894955,0.5105008
-1.0829815,0.02556892
0.13017268,-0.4403762
0.089399934,-0.5171158
1.5913076,1.424763
1.1603827,-0.05899938
-0.040831525,0.15010206
1.243747,0.09352199
0.0645431,0.81683713
0.21741942,-0.25693542
-0.065078236,-0.33196467
0.15329815,0.10224397
-0.91880345,-0.59521294
-0.4778163,1.151836
0.16448183,0.02393164
2.8775234,-1.9713424
0.1256667,-0.07948063
-0.25400275,0.8231473
-0.22263767,-0.57071
1.4265264,-1.2326151
-0.2921985,0.20323092
-0.8316952,0.7423323
0.26568374,0.077297166
0.070537105,0.6901036
0.8160425,-0.51498115
0.79396486,-0.37133572
0.183859,-0.82930475
0.47513664,-1.9317331
-1.4239161,1.8314414
-1.0243438,0.69785863
-1.5712528,0.6873082
-0.17759183,-0.24242802
-0.6473543,0.29107466
-0.38521108,0.25977743
-0.07103572,-1.1536711
-1.5511293,0.753026
-0.47772154,-0.11657778
-1.2386695,-1.0885631
-1.03465,1.5324306
0.021187868,0.25131342
0.59497046,-1.0495665
-2.0849686,1.1519637
-0.9055177,0.62649214
0.19946115,0.11961265
1.1997011,-0.36323243
-0.5923625,-1.1069914
0.6105813,-2.9464536
1.2987391,-1.1591693
1.4852637,0.18086876
0.86304927,-1.4734235
0.92272246,-0.48849687
-0.17881799,-0.6220474
0.6712788,-0.44799832
-0.46783236,-0.8966188
0.79384357,0.7430755
0.61529094,-0.110801354
-0.7074734,0.80242825
-0.8137245,0.15096793
-1.5640211,0.65077984
-0.43149456,-0.13319157
0.8039162,-0.22260953
0.8997975,-0.022255749
0.30762666,-0.25752714
-0.5253706,0.046994146
1.146015,-1.1584821
-0.06824734,0.402901
-1.4558607,-0.20185414
0.76105726,0.2238927
1.7159406,-1.208636
-1.0597634,1.1101862
-1.7883384,-0.40244865
-1.1345893,0.6203209
0.3177175,-0.86446095
-1.5829968,1.1104419
0.71075207,-0.7308394
1.1503254,-0.76089257
-1.2217736,1.3021553
1.4913384,-0.26673293
-0.45732248,-0.41331798
0.0017185938,-0.31605038
-1.6231627,-0.6513052
-0.23082823,-0.41736186
1.6344615,-1.4036409
0.63795763,-0.32914966
1.7533436,-1.4044409
-0.66988367,-0.5593483
1.5294873,-0.23580833
1.0317073,-1.4648701
-0.5269695,-0.6500207
-0.29292226,1.2498971
-0.5430097,0.13576202
0.74325985,0.06362641
-0.18350281,-0.6233948
-1.1404212,-0.2339293
-0.24168001,0.42401582
-1.2911185,0.23737757
2.5977929,-2.8191023
-0.5432979,0.9962089
0.1856953,0.28533092
0.9583717,0.22221047
-0.14979246,0.78164226
0.77397174,-0.9027124
0.36463562,0.8164097
-0.11640846,1.0503296
0.6285416,0.3221694
0.018374663,0.07444803
-0.9167493,0.9555436
0.787831,0.092164196
1.1146927,-1.3234235
-0.916559,1.0771517
1.3902256,-0.4724222
0.67576516,-0.05880143
0.54730135,-1.0001652
0.4581457,-0.6813317
0.3850162,0.7504315
-0.21737184,0.9588378
-0.39035714,0.9224335
1.5749643,-1.9115007
-1.797708,0.22247253
-1.4049226,-0.59843916
-1.0351838,0.30726025
0.6398066,-1.5738509
1.2420903,-0.7501299
0.19046162,0.45351094
0.123108946,-0.5184615
0.5491956,-0.92636347
-0.2987053,0.9736589
1.1203184,0.4376737
-1.7810973,-1.2787921
-0.0940715,-0.9161373
0.5082138,0.32555756
-0.51932466,1.4635798
0.37065932,-0.40719983
2.0161312,-1.1770139
0.48553106,0.16179979
3.5327475,-2.5883567
-0.0807637,-0.15074158
-0.21507989,0.4459223
0.13146521,0.7662353
0.74067074,-0.51209575
-0.32393295,0.6960951
0.33512935,0.52321446
0.008873357,0.105602115
0.031675994,-0.6722931
0.3056209,0.37224108
3.3216636,-4.1011105
0.52300954,-1.3408296
-0.5422385,1.020937
-0.4467816,0.8111185
0.98229283,-0.8121874
-1.0643338,0.55524755
-0.16614695,0.7009377
0.8437559,-0.9002689
1.0063858,-0.33269486
-0.9573639,0.92275274
-0.36003554,-0.46740475
0.1798247,-0.08157477
0.68980265,-0.78339094
-1.0948879,0.6525359
1.2397401,-0.8228793
0.8135211,-0.15388578
-0.19152737,-1.2864815
0.84041756,-0.3236309
-0.0055297767,-0.6656434
-0.010909203,0.21106525
0.37977916,-0.95471996
-0.012415004,0.4741291
-1.1917634,-1.5244082
0.18214186,-0.55188984
-1.7014489,1.6692218
0.23860388,-0.6505845
0.5180524,1.1848086
0.08591136,-0.2150742
0.42580083,-0.17613074
-0.84314793,0.3436779
0.2962721,0.1351381
-0.34287876,-0.6907366
0.6311106,1.2298583
0.1990001,0.5017664
-0.15589587,0.19207864
0.6836155,0.4066748
-0.44177616,0.16856958
0.7999607,-0.9120299
-1.1565188,1.2764293
0.038719285,-1.2067398
0.06425521,0.285048
-0.41807133,1.0999534
-0.34552035,-0.44809523
-0.060406733,-0.57654226
-0.47824332,0.42045557
-1.6211041,0.8330684
-2.877081,2.940556
0.20784473,0.6029245
-0.6134883,0.16101
-0.35386866,1.2081009
-1.5223804,0.7874491
-1.5564861,0.38930896
-0.44904712,2.0031776
-2.3174891,2.4149625
1.9152671,-2.3132231
-0.6340737,-0.5335606
-0.036952488,0.45466414
0.10510214,-0.16571483
-0.8534652,0.98350215
-0.7222208,1.066186
0.17290142,2.1631944
0.6562209,1.0921551
0.34580496,-0.8235784
1.0222027,0.025556
-0.995786,-0.81174856
1.3408127,-0.821786
0.33803615,-0.091897845
-0.40764078,-1.8921217
-1.1542326,1.6517009
0.06960566,0.6732244
1.6012442,-0.9394939
0.17714977,-0.35918155
0.6481687,0.024349349
-1.3201568,0.09535047
0.49493667,1.0795283
-0.16481403,-1.5997814
0.56655777,-0.32663387
-0.84773093,0.3003584
0.19064313,0.09491906
1.121419,0.09845138
0.35503566,-1.3373085
-1.3141779,0.18963169
1.2055413,-0.45964265
-0.575565,0.96283525
1.0826715,3.990893
-0.24264754,-0.5653101
0.2542743,-0.13368098
-0.91194665,1.1293087
0.39922953,-0.2591935
-1.1881114,0.29365808
0.6436109,0.6198214
-0.5682179,1.086028
-1.0006577,1.066941
-0.9120815,-0.41075397
0.96546257,0.16722532
-1.995217,1.6174545
0.08373365,0.41651344
0.17658266,-0.5287632
-0.2178199,-0.22372274
-1.5854802,0.6799269
-0.055536367,1.2884061
-0.47898802,-0.14663798
0.35881317,0.5932763
1.9225159,-1.0953785
0.10297009,-1.3067689
-0.41518465,0.6850113
0.7768991,-1.8010968
0.74086094,0.4593273
0.80694336,0.21866551
0.9756794,0.08423721
-0.0935917,0.44338974
-1.6259005,0.45262244
-0.4205495,0.8663489
0.59020185,0.4002455
0.22979075,-0.21885066
-0.28661126,0.82204616
1.790228,-1.2199193
0.58357763,-0.21400236
0.279756,0.86780876
-0.49319643,-0.45286864
-0.4621866,0.6006128
-0.45448935,-0.8657404
0.8728936,-1.2750723
0.16277747,-0.12637004
1.7412236,-0.40291294
0.84227604,-0.41639492
0.05188502,0.6373134
-0.2331189,-0.20036674
-0.26171026,0.5604867
0.19525865,-0.8935715
0.11480273,0.28376973
-0.25558707,0.46687293
-0.74947137,-0.1767849
0.0895015,-0.3518838
1.1575822,-1.1954471
0.7796516,0.29516777
0.35728115,-0.53913474
0.17684864,-0.5262855
-0.47539067,0.63598025
-0.23745604,-0.8196054
-0.33024177,0.9072977
-0.7733873,1.0156136
