a,b1,b2,b3,b4
2.0474772,-0.024478234,-1.0445768,0.46914697,0.41191813
1.978996,0.35752606,-0.35943362,0.34913617,1.0982723
1.9704235,0.8110616,0.10863853,0.4834736,0.8957169
2.264736,0.030112185,-0.26713362,0.07542484,0.57907176
3.1707127,0.32297024,0.17100585,0.81965315,1.1325758
2.3545556,0.09248793,-0.35290173,0.22706576,0.95685124
3.6325269,-0.2181951,-0.21829125,0.64305323,1.1217649
2.6077669,0.20448181,-0.092546836,0.45886582,1.0930871
0.5578597,-0.15240331,-0.7421762,-0.33560988,-0.080561206
0.63363445,-0.01350233,-0.6697661,-0.47005236,0.08773223
0.70770544,0.076746285,-0.51311255,-0.369167,0.18179557
0.82494926,0.034553476,-0.51383066,-0.20477404,0.13145329
0.7688067,0.20204256,-0.45523983,-0.18674195,0.31531364
0.7731233,0.1493146,-0.52399045,-0.25887057,0.20660992
0.8246872,0.18778415,-0.41138008,-0.08114735,0.33000812
1.1289672,0.35865843,-0.31806415,-0.08836218,0.4352288
0.82876915,0.39409253,-0.21254534,0.16065349,0.3020478
0.8067199,0.24814361,-0.35577258,-0.14957185,0.1892322
0.6850735,0.13132146,-0.406449,-0.24928191,0.098024026
0.59408003,0.2821097,-0.3984483,-0.12658511,-0.007899753
0.48359028,0.40444088,-0.36145556,-0.3027678,-0.13117622
0.7213804,0.29859135,-0.65228546,-0.34098995,-0.17881545
0.90488666,0.3732792,-0.27965263,-0.12847666,0.11578642
0.9859673,0.21106638,-0.42741898,-0.25330698,0.24927394
0.92997843,-0.44153872,-0.8474784,-0.37359074,-0.038702548
0.7606833,-0.26627392,-1.1188881,-0.48106837,-0.08397298
0.6295831,-0.12752706,-0.5814936,-0.30076993,0.05940323
1.146436,-0.29014856,-0.6800572,-0.23593159,0.20796947
0.66535187,-0.21094222,-0.7023082,-0.55828124,-0.14875019
0.96146107,-0.041860543,-0.58431923,-0.30384356,0.12230096
0.92716634,-0.1572247,-0.7065069,-0.3558679,0.046489526
1.059908,-0.18702331,-0.54473114,-0.008540198,0.23893559
1.971699,-0.029555758,-0.24009702,0.52896047,0.7770044
1.8591946,-0.27948627,-0.3899808,0.4307536,0.86447656
2.5081677,-0.76990795,-0.78942305,-0.16808666,0.6178371
1.2503076,0.07278236,-0.16550429,0.25832942,0.425705
2.147722,-0.61022484,-0.9279209,-0.31119496,0.26574868
1.9363177,-0.38749957,-0.546884,0.09741466,0.41147086
1.6301317,-0.05791102,-0.40379164,0.1400576,0.5983145
2.2711766,-0.3824129,-0.67603785,-0.014985441,0.42794624
2.9189014,-0.3047856,-0.5305778,0.39991772,0.78059584
3.402208,-0.7339101,-0.6376214,0.35000715,0.97554976
3.7776783,-0.7206364,-0.5930557,0.22183985,0.74222666
3.259767,-0.76823413,-0.7272472,0.26301482,0.8311418
2.3709645,-0.18111272,-0.5494,-0.038208395,0.52867174
2.6877322,-0.48647532,-1.0124027,0.262899,0.556486
3.510858,-0.43760398,-0.35898033,0.43447667,0.89306575
4.2581983,-0.73612136,-0.5987928,0.53346163,0.9134423
