a1,a2,b1,b2,b3,b4
0.50525516,0.5577716,0.48221168,-0.626336,0.8483247,0.7227395
0.524633,0.59420663,0.8017829,0.03557577,0.75502944,1.2922475
0.4580862,0.54075986,1.2415437,0.48471054,0.8020799,1.009088
0.51237535,0.61570317,0.5639593,0.17390423,0.47469407,0.8733632
0.6208623,0.7129248,0.9982136,0.6832895,1.1405613,1.1605042
0.603617,0.69001245,0.62653035,0.11150572,0.68728274,1.2391198
0.71404994,0.80236846,0.60952073,0.3995039,1.0943915,1.252364
0.61479235,0.695225,0.78935915,0.396856,0.8942897,1.2548378
0.25681883,0.27025107,-0.08874645,-0.6384786,-0.21159112,0.06709191
0.31631175,0.31774613,0.047961604,-0.5583176,-0.32368818,0.26902673
0.33470285,0.35469303,0.16208328,-0.37909567,-0.1985323,0.39315194
0.3492472,0.37099078,0.16229536,-0.34932745,-0.009321837,0.36219501
0.33475646,0.36935213,0.31851092,-0.29878578,0.0038678425,0.5451808
0.3706119,0.38583055,0.24550286,-0.3739902,-0.06636423,0.44701117
0.3398433,0.37806994,0.3248947,-0.23961733,0.122631095,0.5694265
0.43818235,0.48462793,0.5648124,-0.07446972,0.19789995,0.7567628
0.40181547,0.37825277,0.53280497,-0.028786045,0.39067352,0.57506233
0.41925612,0.38705695,0.35530353,-0.19147603,0.06428344,0.45694646
0.33739185,0.319344,0.22524796,-0.27237108,-0.08197653,0.30128974
0.33274943,0.3013194,0.35194036,-0.28313014,0.0261829,0.18521148
0.28482658,0.25670078,0.4561337,-0.2714666,-0.18193828,0.021752672
0.3639279,0.34710264,0.37906423,-0.5203369,-0.16967341,0.032654043
0.36743274,0.3738526,0.5389555,-0.08820958,0.09088819,0.36371657
0.4809026,0.46403328,0.34471998,-0.22810763,0.0041661295,0.5688247
0.4131637,0.33887064,-0.29291922,-0.67185205,-0.17162864,0.1950966
0.38263324,0.3077971,-0.21154277,-0.9703752,-0.3234475,0.114771955
0.3389883,0.25646943,-0.050800223,-0.46679467,-0.15534307,0.23692475
0.47795862,0.44689032,-0.09870292,-0.45476544,0.026830865,0.5114587
0.36486506,0.26155433,-0.14900497,-0.58834314,-0.4155071,0.030887973
0.460263,0.373515,0.09884796,-0.3994637,-0.07723735,0.39255577
0.47018895,0.37854582,-0.0472917,-0.54045266,-0.14075899,0.31285146
0.4750159,0.39559066,-0.010118535,-0.33098403,0.24470896,0.5314553
0.53857815,0.5298147,0.4249543,0.15362628,0.8986687,1.0185188
0.54487354,0.51099485,0.15151553,-0.010224371,0.8071261,1.1188496
0.695823,0.6775123,-0.13847125,-0.27247557,0.31857994,1.0349522
0.48274758,0.4348605,0.32373118,0.10461807,0.5599803,0.7321121
0.57266676,0.57569575,-0.03642206,-0.4729691,0.10635751,0.6392156
0.6072257,0.5662813,0.05443041,-0.1471422,0.49702835,0.7835581
0.48147276,0.4606976,0.31874946,-0.06741586,0.4679084,0.879152
0.7491459,0.72761214,0.10483323,-0.20891416,0.47613454,0.90882283
0.5786714,0.58983785,0.43354687,0.0034346848,0.80837214,0.9812233
0.6785166,0.71743196,0.1487603,-0.0019459972,0.84765834,1.201088
0.69405025,0.73680246,0.25722432,0.09358165,0.7327651,0.9941304
0.67989284,0.681227,0.09798864,-0.10120621,0.7605936,1.1050808
0.5019306,0.5650311,0.42402753,-0.07996845,0.3570196,0.8164922
0.6073779,0.66294616,0.21960427,-0.46994716,0.7302254,0.8999424
0.6705642,0.6912831,0.42091772,0.24941143,0.8810138,1.0689409
0.79281306,0.832407,0.31457314,0.14225248,1.0624897,1.1310596
