theta1,theta2
-0.5276467,0.8034531
-0.17926054,-0.5933209
-0.5750046,-0.1642677
-0.5084353,0.5843591
1.9580004,-1.108881
0.75759506,-0.10197078
-0.06780839,-0.05185958
0.38285312,0.15199822
-1.9730581,0.0013520439
-0.3895355,1.0458083
0.33814135,-0.46477985
0.19153081,0.4938438
1.8270284,0.59151477
-0.08829474,1.027918
1.5235145,-0.033879142
0.38143265,1.104347
0.778669,-0.43825325
0.66291755,0.13259065
2.4873111,-0.13968977
0.76210815,0.6565346
-0.03776165,2.0907936
0.13449366,0.42751044
-2.4878218,0.14036047
-0.35698396,-1.0470486
-0.49631137,0.979278
-0.7831738,-0.25047034
-0.08463559,0.5303042
1.0774132,-0.044548817
0.5026596,-0.18178134
-1.7611954,2.069404
-0.6624886,0.42012456
-1.5357618,0.9249598
-0.2659951,1.5880028
0.082989655,-1.0886942
-0.46117502,0.6072846
-0.716477,0.7141783
1.0890056,0.20354886
0.7175394,-1.0580957
0.9651944,0.25906703
-0.21206552,-0.42819044
1.2296191,-0.9751491
-0.35713184,0.89320916
1.6766349,1.4064318
0.7451741,0.49779046
1.0723253,0.24093594
-0.8267675,-0.19008794
1.2619009,-0.9400127
0.8352617,-1.2809303
0.43488574,-1.0209329
-0.546067,1.242696
-0.25530156,-0.37938717
-1.3441572,0.30587932
-0.78160036,0.97643626
-1.9865371,2.354612
-0.67914146,-1.457717
0.44275162,-0.26570195
1.1089739,-0.19878423
-0.081784636,1.1500523
0.23450963,-0.45827806
-0.25626838,0.036800828
1.7384294,-0.75333655
-0.057056442,0.711929
0.6000431,0.009836464
0.49420393,-1.263671
-0.5546203,-0.16630909
-0.030330757,0.092964344
1.9684358,-0.71878064
0.12391581,-0.36035407
0.6455154,-0.9522806
0.35898393,0.3847024
0.6395166,0.27662104
1.7649555,-1.8134172
-1.1975546,1.1888609
0.3855169,-0.35852888
0.061633475,-0.80509895
1.0369513,-0.14976323
0.98383766,-0.9753304
-0.3392562,2.184616
1.2718956,-0.1800603
0.580785,-0.42369914
1.2064945,-0.06764267
1.5397421,-1.2571322
0.306428,0.39932325
-0.6286315,0.18896496
-0.08407935,-0.6611101
-0.13988543,-0.24671477
-0.9157855,-0.12408183
