a1,a2,b1,b2,b3,b4,b5,b6
0.09298559,0.06493465,-0.3551029,-0.047974132,0.14282696,-0.85262716,-0.19804932,0.40414456
0.009509738,0.025365943,0.045068588,0.20112805,-0.27942047,-0.56042695,0.618516,0.8333272
0.057681747,0.03791483,-0.38549563,-0.5174917,-0.30746168,-0.87846005,-0.5354683,0.02878085
-0.021006973,-0.03036396,-0.110910274,0.2574262,-0.009817754,-0.7483307,0.5064693,0.2965811
0.14136235,0.12774847,-0.46221232,-0.73360026,-0.7228472,-1.0322864,-0.46268645,-0.06292157
-0.003521164,0.008354545,0.049290277,-0.019452443,-0.05648058,-0.6802893,0.15370624,0.08883159
0.10618619,0.041313518,-0.37099877,-0.5710428,-0.59482497,-0.86743253,-0.4358787,-0.02191862
0.010650753,0.022900632,0.38843355,0.36998147,0.24298914,-0.5177073,0.8660488,0.6147504
0.058462948,0.054251302,-0.48724988,-0.69219273,-0.14130345,-0.47449717,-0.31403556,0.39236706
-0.015691759,-0.0018335583,0.28224602,0.28766257,0.19190761,0.2066534,0.63507074,0.5457355
