a1,a2,b
-0.0022129621,0.028298082,-2.3735623
0.033183653,0.05065313,-1.3075545
0.0750277,0.11894167,0.9966447
0.007824606,0.03991589,-2.3937874
0.07578093,0.07595823,-1.8557229
0.106392905,0.08471656,2.4860454
0.13235447,0.15624052,1.871538
0.11104358,0.1335273,1.0622146
0.15292723,0.14846416,2.692081
0.11957274,0.11765592,-2.4645755
0.109757274,0.15625773,2.069265
0.123107605,0.12631065,2.155908
0.03691873,0.08616648,0.23970284
0.0045195594,0.021958813,-0.9864803
-0.03718429,-0.014465085,-2.178078
0.004631888,0.006345374,-2.8628626
