a1,a2,b
-0.045773942,0.063893616,-2.1286345
-0.01933484,0.10750372,-1.1765872
0.044598527,0.17455275,0.8853006
-0.03139327,0.07446546,-2.1467474
0.030230861,0.13304137,-1.6665477
0.08809074,0.13463631,2.217474
0.11497724,0.2084977,1.6664737
0.076983005,0.19557069,0.94349056
0.16653094,0.18328261,2.4017105
0.078717984,0.16420779,-2.209722
0.093029335,0.20923038,1.8439428
0.1205348,0.16474234,1.9213089
-0.0063646226,0.14487247,0.20864764
-0.05365367,0.07446176,-0.88898
-0.08862112,0.014100681,-1.9537166
-0.028024286,0.016119841,-2.5652137
